Term-Frequency,'s,/,13,8819,accuraci,achiev,address,advantag,advent,alik,also,analys,analysi,appli,applic,approach,appropri,aspect,attitud,auc,augment,author,automat,avail,averag,base,bay,becom,best,blog,calcul,case,caus,challeng,charact,chosen,classif,classifi,cluster,combin,compani,compar,complic,compon,comput,concern,conclud,consist,contagi,crm,custom,data,determin,deviat,differ,difficult,disambigu,discov,discuss,diseas,domain,done,drastic,e-health,effect,effici,either,emot,encompass,ensembl,evalu,everi,evolv,exce,exist,experi,express,extract,fact,factor,fast,feel,find,focu,gener,given,got,guid,handl,handwritten,health,height,help,hidden,high,identifi,ie,imag,implement,improv,inappropri,inconsist,infer,inform,interconnect,intersect,involv,issu,javanes,label,languag,learn,length,leverag,lexicon,like,line,lot,machin,madicin,main,major,make,mani,manuscript,market,markov,measur,media,medic,method,metric,mine,model,naiv,necessit,need,neg,negat,network,new,next,normal,object,offer,often,one,oper,opinion,organ,outbreak,outlin,output,packag,page,paper,parti,pattern,peopl,perform,perpendicular,perspect,plu,polar,polit,politician,posit,predict,present,previou,primari,principl,problem,process,product,profit,propos,public,question,r,reach,real,recent,reduc,refer,regard,rel,relev,research,result,rich,risk,roc,script,segment,select,sens,sentiment,sentiwordnet,set,show,skew,slant,slope,social,standard,statist,straighten,structur,studi,style,success,sureti,task,techniqu,term,text,three,thu,time,touch,toward,tweet,twitter,two,understand,unseen,use,user,valu,variou,via,view,vote,way,web,websit,well,wide,width,word,world,write,’,
Document 0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,1,0,8,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,2,0,2,0,0,0,2,1,2,0,0,0,1,0,1,2,1,0,0,3,2,0,0,1,0,0,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,5,0,0,0,0,0,1,1,1,1,0,2,1,1,1,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,
Document 1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,1,0,8,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,2,0,2,0,0,0,2,1,2,0,0,0,1,0,1,2,1,0,0,3,2,0,0,1,0,0,0,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,5,0,0,0,0,0,1,1,1,1,0,2,1,1,1,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,
Document 2,1,1,0,0,0,0,1,1,1,1,0,0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,7,0,0,0,0,0,0,1,1,3,2,1,2,0,1,0,0,1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,2,0,1,3,1,0,0,0,0,0,1,0,0,3,4,1,1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,2,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,1,0,2,2,0,5,1,0,0,0,1,3,0,1,0,0,1,0,0,
Document 3,0,0,0,0,2,1,0,0,0,0,1,0,4,0,0,2,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,2,16,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,2,1,0,1,1,1,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,3,1,0,1,3,1,0,0,1,5,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,





